Questions	OptionA	OptionB	OptionC	OptionD	OptionE	Answer	Source
The ______ sound of the radiator as it released steam became anincreasingly annoying distraction.	sibilant	scintillating	diverting	sinuous	scurrilous	Sibilant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It is helpful for salesmen to develop a good ______ with theircustomers in order to gain their trust.	platitude	rapport	ire	tribute	disinclination	rapport	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
In such a small office setting, the office manager found he had______ responsibilities that required knowledge in a variety ofdifferent topics.	heedless	complementary	mutual	manifold	correlative	Manifold	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
David's ______ entrance on stage disrupted the scene and causedthe actors to flub their lines.	untimely	precise	lithe	fortuitous	tensile	Untimely	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The settlers found an ideal location with plenty of ______ land forfarming and a mountain stream for fresh water and irrigation.	candid	provincial	arable	timid	quaint	Arable	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ seventh-grader towered over the other players on hisbasketball team.	gangling	studious	mimetic	abject	reserved	Gangling	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Carson was at first flattered by the ______ of his new colleagues,but he soon realized that their admiration rested chiefly on hisconnections, not his accomplishments.	reprisal	adulation	bulwark	rapport	retinue	Adulation	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
For a(n) ______ fee, it is possible to upgrade from regular gasolineto premium.	nominal	judgmental	existential	bountiful	jovial	Nominal	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Searching frantically to find the hidden jewels, the thievesproceeded to ______ the entire house.	justify	darken	amplify	ransack	glorify	ransack	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ deer stuck close to its mother when venturing out intothe open field.	starling	foundling	yearling	begrudging	hatchling	yearling	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The police officer ______ the crowd to step back from the fire sothat no one would get hurt.	undulated	enjoined	stagnated	permeated	delineated	enjoin	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Jackson's poor typing skills were a ______ to finding employmentat the nearby office complex.	benefit	hindrance	partiality	temptation	canon	Hindrance	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Through ______, the chef created a creamy sauce by combiningbrown sugar, butter, and cinnamon in a pan and cooking them overmedium-high heat.	impasse	obscurity	decadence	diversion	liquefaction	Liquefaction	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The defendant claimed that he was innocent and that hisconfession was ______.	coerced	flagrant	terse	benign	futile	coerce	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Harvey was discouraged that his visa application was ______ due tohis six convictions.	lethargic	immeasurable	nullified	segregated	aggravated	nullify	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The rebel spies were charged with ______ and put on trial.	sedition	attrition	interaction	reiteration	perdition	Sedition	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Keith was ______ in his giving to friends and charities throughoutthe year, not just during the holidays.	munificent	portly	amphibious	guileful	forensic	Munificent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Calvin reached the ______ of his career in his early thirties whenhe became president and CEO of a software company.	zephyr	plethora	vale	nocturne	zenith	Zenith	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although I'd asked a simple "yes" or "no" question, Irfan's replywas ______, and I didn't know how to interpret it.	prodigal	irate	equivocal	voracious	harrowing	Equivocal	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The high-profile company CEO was given an ______ for speakingat the monthly meeting of the area business leaders' society.	expiation	honorarium	inoculation	interpretation	inquisition	Honorarium	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Zachary was doomed to a miserable life, for no matter how muchhe had, he always ______ the possessions of others.	protracted	exalted	engendered	coveted	filibustered	covet	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Sheila's grueling hike included passing through numerous ______.						ravine	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The college professor was known on campus as a ______ character-bland but harmless and noble in his ideals.	staid	stagnant	auspicious	sterile	dogmatic	Staid	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Because he was so ______, the athlete was able to complete theobstacle course in record time.	belligerent	nimble	demure	volatile	speculative	Nimble	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The toy store's extensive inventory offered a ______ of toys frombaby items to video games for teenagers.	manifold	lexicon	burrow	gamut	motif	gamut	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With sunscreen and a good book, April ______ by the pool in herlounge chair while the children swam.	ensconced	sustained	expelled	transcended	lolled	loll	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
NaQuan had a terrible habit of boasting so much about hissmallest accomplishments that his ______ became renownedthroughout the small college campus.	vainglory	timidity	diffidence	tempestuousness	mockery	Vainglory	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Only a small number of people in the audience laughed at thecomic's ______ sense of humor, while the rest found him to be toosarcastic.	consequential	avaricious	venturous	dauntless	mordant	Mordant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
He has long been a(n) ______ of year-round school, believing itwould significantly improve learning and ease the burden onworking parents.	advocate	levity	detractor	epiphany	connoisseur	advocate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Tired of hearing the child whine for more candy, the babysitterfinally ______ and offered him a piece of chocolate.	relented	abated	rendered	placated	enumerated	relent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Dogs growl and show their teeth in an attempt to ______ theanimal or person they perceive as a threat.	bolster	waylay	cow	exacerbate	appease	cow	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
In biology class, Sabine observed the slug's ______, its barelydiscernible movement in the tank.	parody	prescience	torpor	insight	vigor	Torpor	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ instinct of a watchdog is to attack strangers who enterits home.	judicious	intimate	pragmatic	melancholy	primal	Primal	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The battalion's ______ was a well-fortified structure near theenemy lines.	labyrinth	summary	villa	vinculum	garrison	garrison	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Much to my surprise, my teenage daughter was ______ to the ideaof going out with me on Friday night instead of with her friends.	contrite	impartial	partisan	deferential	amenable	Amenable	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The enormous waves forced the lobster boat to ______ heavily tothe starboard side, causing crates of lobsters to topple and fall intothe ocean.	trifle	degenerate	list	expedite	disseminate	list	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Walking through the ______ forest in spring was a welcome escapefrom the cold, gray winter we had spent in the city.	pliant	verdant	factious	bland	innocuous	Verdant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Nina called the humane society when she saw her neighbor ______ his dog.	mandate	forebode	maltreat	stipulate	peruse	maltreat	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Meredith used the ______ to steer the horse and keep him in line.						quirt	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Oliver was unable to ______ himself from the difficulties he hadcaused by forging the documents.	reprove	pique	oust	extricate	broach	extricate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ of our expedition was still so far away that I felt wewould never get there.	nadir	terminus	speculation	apex	dungeon	terminus	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
If he expected to ______ as a doctor, Lou knew he would have tostudy hard in medical school and work long hours to gainexperience and skill.	perpetrate	palliate	palpitate	prosper	mediate	prosper	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Doc Wilson grew up in Florida and was not prepared to face the______ climate of the Alaskan winter.	freshwater	gelid	compendious	subsidiary	improvident	Gelid	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Marvin's ______ prevented him from finishing his work and wasevidenced in his large phone bills.	loquacity	heroism	decadence	depreciation	rescission	Loquacity	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The graph clearly showed the company reaching the ______ inprofits during the 1980s when the economy was in a boom period.	narthex	gullet	gamut	quiescence	vertex	Vertex	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Amie agrees with the ______ that the grass is always greener onthe other side of the fence.	perpetuity	penchant	maxim	conformation	fortitude		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Victor Frankenstein's creature was a(n) ______, detested byeveryone he met.	itinerant	anathema	cosmopolitan	mercenary	anomaly		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Jack Nicholson was at the ______ of his career when he receivedthe Oscar for Best Actor.	detriment	pinnacle	oligarchy	rogue	repose		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ariana was outstanding as the moderator; she handled theintensely heated debate with great ______, diplomatically andtactfully keeping the conversation fair and on track.	finesse	pretentiousness	prowess	succor	aversion		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The class endured a loud and lengthy ______ by the teacher on thesubject of submitting written work on time.	guile	polemic	bravado	tirade	heresy		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Lauren's ______ features, what you first noticed about her, wereher stunning black hair and large, dark eyes.	savvy	affluent	predominant	universal	malicious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Whenever Tom and I would argue he would ______ with his handsand body to accentuate his point.	interject	infuse	gesticulate	conjure	encumber		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Must we be subjected to your ______ complaints all day long?							http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The new political candidate refused to print ______ about heraggressive opponent, but that did not stop him from printing liesabout her.	dispensation	assignation	rendition	libel	compunction		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Awkwardly tall and prone to tripping over her own feet, Grace felther name was truly a ______.	misnomer	preoccupation	universality	garrulity	benevolence		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although the villagers' lives were profoundly different from herown, Jing-Mae felt a deep ______ for the people when she servedin the Peace Corps.	reparation	affinity	injunction	exigency	analogy		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Sometimes late at night Sharon would gaze joyfully at her childrenas they slept and ______ in their innocence.	sneer	ostracize	revel	repudiate	antiquate		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
In the famous balcony scene, Romeo ______ Juliet's beauty in oneof the most romantic soliloquies ever written.	sanctions	extols	peruses	beguiles	fetters		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It was ______ to think that it could possibly snow in the middle ofthe desert.	advantageous	philosophical	eroding	preventative	preposterous		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Every evening at the restaurant, the reporter would eavesdrop onthe Mayor's conversations in order to ______ any information thatcould make headlines.	ignore	glean	extol	extend	narrate		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The surgeon placed a ______ on the femoral artery to bind itduring the long and exhausting surgery.	ligature	doctrine	premise	synopsis	degeneration		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
By sheer ______ force, the men pushed the truck to the side of theroad and out of danger.	virile	persnickety	meticulous	suave	contentious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Based on his recent poor decisions, it was obvious that Seth lackedeven a ______ of good sense.	debasement	diversion	disapprobation	submission	modicum		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
To settle the dispute, the students elected a faculty member toserve as a(n) ______.	maverick	dystopia	arbiter	fiduciary	martyr		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ newspaper accounts of the city scandal caused somereaders to question the truth of the stories.	lurid	vivacious	blithesome	prolific	amicable		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ man with amnesia was unable to recognize wherehe was.	endogenous	euphoric	nonplussed	amicable	pliable		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Justin's ______ solution to the problem revealed that he did notspend much time considering the consequences.	facile	obsolete	resilient	pristine	ardent		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The events of the evening ______ without difficulty despite thelack of planning on the part of the host.	expired	transpired	retired	ensured	extorted		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It is every American person's ______ to live the life he or shechooses.	composite	eloquence	prerogative	allusion	demise		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After the boisterous customers left the cafe without tipping, Carlos______ at them through the restaurant's front window.	interjected	jostled	glowered	emulated	skulked		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
People often referred to Noelle as ______ because she trustedeveryone and even slept with her doors unlocked.	naive	elevated	boastful	panoramic	elated	Naive	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Kinnel's re-election is being threatened by a growing ______ ofdisgruntled union members.	rogue	faction	pariah	guise	anathema	faction	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The peasants passed their weary days in much ______ and littlecomfort.	pertinence	renown	travail	exile	repose	Travail	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Lyasia is a ______ of the clarinet; she has performed solos withmany orchestras and bands around the world.	neophyte	novice	virtuoso	termagant	plethora	Virtuoso	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The children knew that once their father made his decision, thenew rule would be ______ because he would never change his mind.	irrevocable	articulate	premeditated	serried	discourteous	Irrevocable	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The haunted house displayed ______ scenes in every room,causing squeamish visitors to scream.	preparatory	archaic	macabre	precocious	impetuous	Macabre	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The concert audience was frustrated by the poor ______ of thesounds coming from the speakers.	modulation	recrimination	terminus	dissidence	assertion	Modulation	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Please don't ______ me my success-I've worked hard to earn thispromotion!	renege	begrudge	excise	staunch	vaunt	begrudge	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With an ______ blow of the whistle, the meddling parentinterrupted the game to reiterate the rules of the tournament.	industrious	illustrious	eloquent	officious	enviable	Officious	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The candidate's inappropriately sexist remark was met with a______ of denunciations from the angry crowd.	bastion	fusillade	melange	dichotomy	solecism	fusillade	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ employee decided to complain publicly about theunacceptable working conditions.	discreet	prudent	precarious	malcontent	stupendous	Malcontent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The medicine man applied a sweet smelling ______ to the youngbrave's wounds.	triad	corrosive	parcel	unguent	pungent	unguent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The judge dismissed the extraneous evidence because it was not______ to the trial.	pertinent	pretentious	synonymous	abject	inalienable	Pertinent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ nature of the song is supposed to be reminiscent ofshepherds calling to their flocks at night.	vocative	endemic	surreptitious	preternatural	inane	Vocative	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ child caused great difficulties for her parents andteachers because she refused to correct her bad behavior even inthe face of punishment.	adorable	sincere	incorrigible	lamentable	demure	Incorrigible	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The internist decided to treat the ______ with medication, but alsorecommended rest and proper nutrition.	malady	nonentity	missive	repository	nonchalance	Malady	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It was such a beautiful day that I decided to go for a ______ on mybike down to the local park.	expedition	jaunt	pilgrimage	repast	intimation	jaunt	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The castaway's hut was ______ by the natives curious to see whothe intruder was upon their island.	beset	surmised	precluded	garnered	lauded	beset	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Sometimes my grandmother would ______ all different types ofthread so she could include more colors in the clothes she sewed.	daunt	raddle	scrabble	thrush	empower	raddle	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The defense attorney's choice of words ______ that there wereother possible versions of the crime, but the jury was unconvinced.	pervaded	insinuated	discounted	imposed	ensconced	insinuate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ted's enthusiasm for becoming a professional drum player ______ when he realized he would have to practice several hours a day.	waxed	waned	deranged	flouted	preempted	wane	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
